87.236.176.55 - - [09/Nov/2025:01:01:58 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
127.0.0.1 - - [09/Nov/2025:12:44:07 +0000] "GET /2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:07 +0000] "GET /Hd.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:07 +0000] "GET /getid3s.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:07 +0000] "GET /Alex-Cross.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:07 +0000] "GET /404.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:08 +0000] "GET /403.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:08 +0000] "GET /chosen.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:08 +0000] "GET /admin-post.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:08 +0000] "GET /pomo.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:08 +0000] "GET /up.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:08 +0000] "GET /wp.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:08 +0000] "GET /content.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /cong.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /blue.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /css.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /js.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /user.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /coffee.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /system.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /shell.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /m.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /sto.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:09 +0000] "GET /db.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:10 +0000] "GET /222.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:10 +0000] "GET /o.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:10 +0000] "GET /an.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:10 +0000] "GET /gmo.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:10 +0000] "GET /file.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:10 +0000] "GET /file5.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:10 +0000] "GET /file17.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:10 +0000] "GET /file32.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /file3.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /file6.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /file15.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /file9.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /error.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /NH19T66T.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /rei.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /666.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /777.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:11 +0000] "GET /888.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:12 +0000] "GET /555.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:12 +0000] "GET /333.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:12 +0000] "GET /zeal.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:12 +0000] "GET /file1.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:12 +0000] "GET /file2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:12 +0000] "GET /filesss.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:12 +0000] "GET /file13.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:12 +0000] "GET /atomlib.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:13 +0000] "GET /manager.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:13 +0000] "GET /abcd.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:13 +0000] "GET /efile.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:13 +0000] "GET /file18.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:13 +0000] "GET /520.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:13 +0000] "GET /031.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /file7.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /file4.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /2%25.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /1%25.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /wp-freya.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /keu.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /file88.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /0%25.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:14 +0000] "GET /lock360.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /jmfi2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /class.1.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /fs.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /CLA.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /gfile.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /eauu.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /we.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /fe5.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /cccc.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:15 +0000] "GET /shell1.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /gm.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /lala.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /hexx.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /444.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /a2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /cfile.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /lv.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /goat.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /aa.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:16 +0000] "GET /vast.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /cool.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /yanki.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /bolt.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /nfile.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /ilex.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /des.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /ext.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /axx.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:17 +0000] "GET /wp-update.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /yasnu.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /new4.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /ava.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /ioxi2.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /gfile1.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /ffile.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /rsnu.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /.well-known/acme-challenge/about.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /default.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:18 +0000] "GET /dfre.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:19 +0000] "GET /pp.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:19 +0000] "GET /13.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:19 +0000] "GET /usep.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:19 +0000] "GET /3.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:19 +0000] "GET /moon.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:19 +0000] "GET /0x.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:19 +0000] "GET /02.php HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [09/Nov/2025:12:44:19 +0000] "GET /xv.php HTTP/1.1" 200 625 "-" "-"
34.185.149.239 - - [09/Nov/2025:13:13:10 +0000] "GET /pdown HTTP/1.0" 200 625 "-" "-"
146.190.134.221 - - [09/Nov/2025:13:45:22 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:54.0) Gecko/20100101 Firefox/70.0"
184.105.247.195 - - [09/Nov/2025:13:57:11 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
184.105.247.195 - - [09/Nov/2025:13:57:27 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:102.0) Gecko/20100101 Firefox/102.0"
80.82.77.33 - - [09/Nov/2025:14:42:54 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
80.82.77.33 - - [09/Nov/2025:14:42:54 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"
127.0.0.1 - - [09/Nov/2025:14:57:18 +0000] "GET /e/data/images/arrow.gif HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Nov/2025:15:12:17 +0000] "GET /robots.txt HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36; compatible; OAI-SearchBot/1.0; robots.txt; +https://openai.com/searchbot"
127.0.0.1 - - [09/Nov/2025:15:19:12 +0000] "GET /statics/img/login_bg.jpg HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
127.0.0.1 - - [09/Nov/2025:15:53:39 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.3"
127.0.0.1 - - [09/Nov/2025:16:27:54 +0000] "GET / HTTP/1.1" 200 625 "-" "-"
167.94.138.119 - - [09/Nov/2025:18:49:42 +0000] "GET /robots.txt HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.53 - - [09/Nov/2025:21:19:23 +0000] "GET / HTTP/1.1" 200 625 "-" "-"
167.94.146.53 - - [09/Nov/2025:21:19:27 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.53 - - [09/Nov/2025:21:19:28 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.53 - - [09/Nov/2025:21:19:57 +0000] "GET /wiki HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.53 - - [09/Nov/2025:21:19:57 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
86.54.31.32 - - [09/Nov/2025:22:59:53 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
