206.168.34.209 - - [29/Aug/2025:00:10:13 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [29/Aug/2025:07:52:50 +0000] "GET / HTTP/1.1" 200 625 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
127.0.0.1 - - [29/Aug/2025:08:46:39 +0000] "GET /owa/auth/x.js HTTP/1.1" 200 625 "-" "Mozilla/5.0 zgrab/0.x"
127.0.0.1 - - [29/Aug/2025:08:59:46 +0000] "GET / HTTP/1.1" 200 625 "-" "'Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/genomecrawler)'"
127.0.0.1 - - [29/Aug/2025:09:06:36 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (iPad; U; CPU OS 4_2_1 like Mac OS X; ja-jp) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
127.0.0.1 - - [29/Aug/2025:09:15:47 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "'Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/genomecrawler)'"
127.0.0.1 - - [29/Aug/2025:09:16:06 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "'Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/genomecrawler)'"
127.0.0.1 - - [29/Aug/2025:09:24:02 +0000] "GET /developmentserver/metadatauploader HTTP/1.1" 200 625 "-" "Mozilla/5.0 zgrab/0.x"
86.54.31.34 - - [29/Aug/2025:09:49:59 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36"
86.54.31.34 - - [29/Aug/2025:09:50:00 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.63 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:10:29:49 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:49.0) Gecko/20100101 Firefox/49.0"
127.0.0.1 - - [29/Aug/2025:11:35:33 +0000] "POST /global-protect/login.esp HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203"
127.0.0.1 - - [29/Aug/2025:11:43:41 +0000] "POST /index HTTP/1.1" 200 625 "-" "Python/3.9 aiohttp/3.12.15"
127.0.0.1 - - [29/Aug/2025:11:59:05 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [29/Aug/2025:12:13:34 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36"
127.0.0.1 - - [29/Aug/2025:12:13:37 +0000] "GET /js/lkk_ch.js HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36"
127.0.0.1 - - [29/Aug/2025:12:13:39 +0000] "GET /js/twint_ch.js HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36"
127.0.0.1 - - [29/Aug/2025:13:11:06 +0000] "GET / HTTP/1.1" 200 625 "-" "python-requests/2.32.4"
34.88.67.229 - - [29/Aug/2025:13:13:10 +0000] "GET /pdown HTTP/1.0" 200 625 "-" "-"
127.0.0.1 - - [29/Aug/2025:13:15:34 +0000] "GET /pdown HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [29/Aug/2025:13:20:12 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [29/Aug/2025:13:33:33 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:14:08:54 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36"
159.89.161.230 - - [29/Aug/2025:14:59:57 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:15:00:08 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0; Keydrop.io/1.0(onlyscans.com/about);"
127.0.0.1 - - [29/Aug/2025:15:00:09 +0000] "GET /.git/config HTTP/1.1" 200 625 "-" "Mozilla/5.0; Keydrop.io/1.0(onlyscans.com/about);"
127.0.0.1 - - [29/Aug/2025:15:03:31 +0000] "GET /version HTTP/1.1" 200 625 "-" "Mozilla/5.0 zgrab/0.x"
127.0.0.1 - - [29/Aug/2025:15:23:20 +0000] "GET /.git/config HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
127.0.0.1 - - [29/Aug/2025:16:07:41 +0000] "GET / HTTP/1.1" 200 625 "-" "-"
127.0.0.1 - - [29/Aug/2025:16:52:22 +0000] "GET /+CSCOE+/logon.html HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203"
134.209.236.237 - - [29/Aug/2025:17:15:46 +0000] "GET / HTTP/1.0" 200 625 "-" "-"
165.232.78.158 - - [29/Aug/2025:17:15:47 +0000] "GET /solr/admin/info/system HTTP/1.1" 200 625 "-" "Go-http-client/1.1"
64.226.94.1 - - [29/Aug/2025:17:15:47 +0000] "GET /v2/_catalog HTTP/1.1" 200 625 "-" "Go-http-client/1.1"
161.35.201.222 - - [29/Aug/2025:17:15:47 +0000] "GET /cgi-bin/authLogin.cgi HTTP/1.1" 200 625 "-" "Go-http-client/1.1"
161.35.201.222 - - [29/Aug/2025:17:15:47 +0000] "GET /query?q=SHOW+DIAGNOSTICS HTTP/1.1" 200 625 "-" "Go-http-client/1.1"
165.232.116.98 - - [29/Aug/2025:17:15:47 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; Odin; https://docs.getodin.com/)"
165.232.78.158 - - [29/Aug/2025:17:15:47 +0000] "GET /solr/admin/cores?action=STATUS&wt=json HTTP/1.1" 200 625 "-" "Go-http-client/1.1"
159.223.38.45 - - [29/Aug/2025:17:15:48 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Go-http-client/1.1"
127.0.0.1 - - [29/Aug/2025:17:16:32 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:17:16:32 +0000] "GET /assets/index-L_uBWx05.js HTTP/1.1" 200 497212 "https://161.35.1.46/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:17:22:23 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Symbian/3; Series60/5.2 NokiaE6-00/021.002; Profile/MIDP-2.1 Configuration/CLDC-1.1) AppleWebKit/533.4 (KHTML, like Gecko) NokiaBrowser/7.3.1.16 Mobile Safari/533.4 3gpp-gba"
127.0.0.1 - - [29/Aug/2025:17:34:25 +0000] "GET / HTTP/1.1" 200 625 "-" "HTTP Banner Detection (https://security.ipip.net)"
167.94.146.50 - - [29/Aug/2025:18:18:14 +0000] "GET / HTTP/1.1" 200 625 "-" "-"
167.94.146.50 - - [29/Aug/2025:18:18:18 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.50 - - [29/Aug/2025:18:18:18 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.50 - - [29/Aug/2025:18:18:23 +0000] "GET /favicon.ico HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.146.50 - - [29/Aug/2025:18:18:24 +0000] "GET /login HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [29/Aug/2025:18:28:28 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:18:28:31 +0000] "POST / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:18:45:02 +0000] "GET /.git/config HTTP/1.1" 200 625 "-" "Links (2.1pre15; Linux 2.4.26 i686; 158x61)"
127.0.0.1 - - [29/Aug/2025:19:53:26 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (OS/2; Warp 4.5; rv:31.0) Gecko/20100101 Firefox/31.0 SeaMonkey/2.28"
127.0.0.1 - - [29/Aug/2025:19:54:03 +0000] "GET / HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [29/Aug/2025:19:54:49 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Opera/9.80 (Macintosh; Intel Mac OS X 10.6.8; U; fr) Presto/2.9.168 Version/11.52"
127.0.0.1 - - [29/Aug/2025:19:55:08 +0000] "GET /login HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
127.0.0.1 - - [29/Aug/2025:20:26:48 +0000] "GET /.git/index HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/607.2.6 (KHTML, like Gecko) Version/12.1.1 Safari/607.2.6 Maxthon/5.1.132"
127.0.0.1 - - [29/Aug/2025:20:48:09 +0000] "GET /.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) CriOS/65.0.3325.152 Mobile/15D100 Safari/604.1"
127.0.0.1 - - [29/Aug/2025:20:48:09 +0000] "GET /.env-sendgrid HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.8) Gecko Galeon/2.0.6 (Ubuntu 2.0.6-2)"
127.0.0.1 - - [29/Aug/2025:20:48:10 +0000] "GET /.env-settings HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1.13) Gecko/20080325 Firefox/2.0.0.13"
127.0.0.1 - - [29/Aug/2025:20:48:11 +0000] "GET /.env-smtp.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; es-es; A200 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"
127.0.0.1 - - [29/Aug/2025:20:48:12 +0000] "GET /.env-smtp.log HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:20:48:13 +0000] "GET /.env-sqli.log HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; en-ca; KFTT Build/IML74K) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.68 like Chrome/39.0.2171.93 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:20:48:17 +0000] "GET /.env-ssl-cert HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/602.1.50 (KHTML, like Gecko) Safari/602.1.50"
127.0.0.1 - - [29/Aug/2025:20:48:17 +0000] "GET /.env-ssl.conf HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; U; Android 4.1.2; en-us; LG-P870/P87020d Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
127.0.0.1 - - [29/Aug/2025:20:48:18 +0000] "GET /.env-ssrf.log HTTP/1.1" 200 625 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; BOIE9;NLNL)"
127.0.0.1 - - [29/Aug/2025:20:48:19 +0000] "GET /.env-supabase HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"
127.0.0.1 - - [29/Aug/2025:20:48:20 +0000] "GET /.env-template HTTP/1.1" 200 625 "-" "Opera/ 12.0(x11; Linux x86-64; U; Linux Mint; en) Presto/2.2.15 Version/12.0"
127.0.0.1 - - [29/Aug/2025:20:48:20 +0000] "GET /.env-test.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; Android 4.4.2; RCT6773W22 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36"
127.0.0.1 - - [29/Aug/2025:20:48:21 +0000] "GET /.env-throttle HTTP/1.1" 200 625 "-" "Opera/9.80 (Linux mips ; U; HbbTV/1.1.1 (; Philips; ; ; ; ) CE-HTML/1.0 NETTV/3.1.0; en) Presto/2.6.33 Version/10.70"
127.0.0.1 - - [29/Aug/2025:20:48:22 +0000] "GET /.env-tls-cert HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Android 7.0; Mobile; rv:55.0) Gecko/55.0 Firefox/55.0"
127.0.0.1 - - [29/Aug/2025:20:48:23 +0000] "GET /.env-tls.conf HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; Android 5.0; SAMSUNG-SM-G900A Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.84 Mobile Safari/537.36"
127.0.0.1 - - [29/Aug/2025:20:48:24 +0000] "GET /.env-tutorial HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; U; Linux i686; it-IT; rv:1.7.12) Gecko/20051010 Firefox/1.0.7 (Ubuntu package 1.0.7)"
127.0.0.1 - - [29/Aug/2025:20:48:25 +0000] "GET /.env-user.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; U; Android 4.1.2; en-gb; GT-S6810P Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
127.0.0.1 - - [29/Aug/2025:20:48:25 +0000] "GET /.env-user.log HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Android 7.1.1; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0"
127.0.0.1 - - [29/Aug/2025:20:48:27 +0000] "GET /.env-vars.env HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/525.18 (KHTML, like Gecko) Version/3.1.1 Safari/525.17"
127.0.0.1 - - [29/Aug/2025:20:48:29 +0000] "GET /.env.api.json HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Linux; U; Android 4.2.2; en-us; KFSOWI Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"
127.0.0.1 - - [29/Aug/2025:20:48:30 +0000] "GET /.env.aws-prod HTTP/1.1" 200 625 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.0)"
