45.156.128.152 - - [01/Nov/2025:01:23:15 +0000] "GET /api/session/properties HTTP/1.1" 404 224 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:01 +0000] "GET /wp-includes/functions.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:01 +0000] "GET /wp-includes/class-wp.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:02 +0000] "GET /wp-includes/option.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:10:02 +0000] "GET /wp-includes/post.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:10:02 +0000] "GET /wp-includes/user.php HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:02 +0000] "GET /wp-json/ HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:03 +0000] "GET /wp-json/wp/v2/ HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:03 +0000] "GET /wp-json/oembed/1.0/embed HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:03 +0000] "GET /?rest_route=/ HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:04 +0000] "GET /wp-json/wp/v2/posts HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:04 +0000] "GET /wp-json/wp/v2/pages HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:89.0) Gecko/20100101 Firefox/89.0.2"
127.0.0.1 - - [01/Nov/2025:04:10:04 +0000] "GET /wp-json/wp/v2/media HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0.2"
127.0.0.1 - - [01/Nov/2025:04:10:04 +0000] "GET /wp-json/wp/v2/categories HTTP/1.1" 200 625 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:05 +0000] "GET /wp-json/wp/v2/tags HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:10:05 +0000] "GET /wp-content/uploads/ HTTP/1.1" 200 625 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:45 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:46 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:46 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:47 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:47 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:47 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:48 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:48 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:49 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:49 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:50 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:50 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:50 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:51 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:51 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0.1"
127.0.0.1 - - [01/Nov/2025:04:11:52 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:92.0) Gecko/20100101 Firefox/92.0"
127.0.0.1 - - [01/Nov/2025:04:11:52 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:93.0) Gecko/20100101 Firefox/93.0"
127.0.0.1 - - [01/Nov/2025:04:11:53 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:53 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:54 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0"
127.0.0.1 - - [01/Nov/2025:04:11:54 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:54 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:55 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:55 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:11:56 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:56 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:57 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:57 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:58 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:58 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0.2"
127.0.0.1 - - [01/Nov/2025:04:11:58 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0.1"
127.0.0.1 - - [01/Nov/2025:04:11:59 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:11:59 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:12:00 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:12:00 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:90.0) Gecko/20100101 Firefox/90.0.1"
127.0.0.1 - - [01/Nov/2025:04:12:00 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:90.0) Gecko/20100101 Firefox/90.0.1"
127.0.0.1 - - [01/Nov/2025:04:12:01 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:01 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:12:02 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:02 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:03 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:03 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:04 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:12:04 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64; rv:90.0) Gecko/20100101 Firefox/90.0.1"
127.0.0.1 - - [01/Nov/2025:04:12:05 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0.2"
127.0.0.1 - - [01/Nov/2025:04:12:05 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:05 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0.2"
127.0.0.1 - - [01/Nov/2025:04:12:06 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:93.0) Gecko/20100101 Firefox/93.0"
127.0.0.1 - - [01/Nov/2025:04:12:06 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:07 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:07 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:12:08 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:08 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:12:09 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:09 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:12:10 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64; rv:93.0) Gecko/20100101 Firefox/93.0"
127.0.0.1 - - [01/Nov/2025:04:12:10 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:11 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15"
127.0.0.1 - - [01/Nov/2025:04:12:11 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:11 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:12 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36"
127.0.0.1 - - [01/Nov/2025:04:12:12 +0000] "GET /wp-admin/index.php HTTP/1.1" 200 625 "http://filokiapi.architectaiagency.com/wp-login.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"
